date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd
01-jan-1962,0,2.8,1,-2.5, , ,8, ,999.6,9.2,0,14,0,340,0,24, ,0, , , , , , 
02-jan-1962,0,2.8,1,-3.7, , ,8, ,1005.8,5.9,0,9,0,340,0,10, ,0, , , , , , 
03-jan-1962,0,2.3,1,-3.8, , ,8, ,1007.8,6.7,0,9,0,360,0,13, ,0, , , , , , 
04-jan-1962,0,6.6,0,0.6, , ,8, ,1007.8,4.5,0,9,0,310,0,12, ,0, , , , , , 
05-jan-1962,0,9.3,0,0.6, , ,8, ,1002.2,12.7,0,21,0,240,0,29, ,0, , , , , , 
06-jan-1962,0,10.3,0,8.7, , ,8, ,999.1,14.8,0,24,0,220,0,34, ,0, , , , , , 
07-jan-1962,0,9.6,0,4.4, , ,8, ,1001.1,10.5,0,19,0,280,0,28, ,0, , , , , , 
08-jan-1962,0,9.0,0,1.2, , ,8, ,987.5,15.1,0,40,0,200,0,66, ,0, , , , , , 
09-jan-1962,0,6.6,0,2.2, , ,8, ,976.5,10.2,0,25,0,270,0,37, ,0, , , , , , 
10-jan-1962,0,10.4,0,1.4, , ,8, ,958.9,17.5,0,39,0,230,0,60, ,0, , , , , , 
11-jan-1962,0,7.8,0,3.0, , ,8, ,956.5,22.5,0,46,0,290,0,67, ,0, , , , , , 
12-jan-1962,0,6.9,0,1.0, , ,8, ,963.8,18.0,0,37,0,270,0,59, ,0, , , , , , 
13-jan-1962,0,5.9,0,0.8, , ,8, ,978.8,14.2,0,25,0,290,0,39, ,0, , , , , , 
14-jan-1962,0,5.6,0,0.0, , ,8, ,988.1,7.6,0,13,0,290,0,19, ,0, , , , , , 
15-jan-1962,0,9.3,0,2.8, , ,8, ,974.6,23.9,0,37,0,200,0,65, ,0, , , , , , 
16-jan-1962,0,7.3,0,0.6, , ,8, ,968.5,23.2,0,41,0,220,0,57, ,0, , , , , , 
17-jan-1962,0,8.4,0,2.2, , ,8, ,973.2,17.8,0,43,0,230,0,70, ,0, , , , , , 
18-jan-1962,0,8.1,0,1.7, , ,8, ,985.8,10.6,0,22,0,220,0,35, ,0, , , , , , 
19-jan-1962,0,8.3,0,2.9, , ,8, ,987.8,8.9,0,15,0,280,0,23, ,0, , , , , , 
20-jan-1962,0,9.5,0,6.0, , ,8, ,991.2,8.2,0,17,0,230,0,34, ,0, , , , , , 
21-jan-1962,0,9.4,0,1.7, , ,8, ,980.4,17.5,0,30,0,220,0,48, ,0, , , , , , 
22-jan-1962,0,6.7,0,0.6, , ,8, ,988.7,18.2,0,37,0,290,0,58, ,0, , , , , , 
23-jan-1962,0,10.3,0,1.7, , ,8, ,989.7,12.4,0,26,0,220,0,41, ,0, , , , , , 
24-jan-1962,0,10.3,0,7.3, , ,8, ,984.4,21.8,0,27,0,220,0,43, ,0, , , , , , 
25-jan-1962,0,11.6,0,5.9, , ,8, ,997.9,13.2,0,24,0,290,0,35, ,0, , , , , , 
26-jan-1962,0,10.1,0,6.5, , ,8, ,1006.3,6.5,0,16,0,260,0,23, ,0, , , , , , 
27-jan-1962,0,11.3,0,8.3, , ,8, ,1009.7,7.3,0,13,0,270,0,21, ,0, , , , , , 
28-jan-1962,0,10.3,0,7.2, , ,8, ,1012.2,1.2,0,5,0,280,0,6, ,0, , , , , , 
29-jan-1962,0,8.3,0,5.7, , ,8, ,1012.6,5.6,0,12,0,160,0,17, ,0, , , , , , 
30-jan-1962,0,9.1,0,6.1, , ,8, ,1009.8,12.7,0,22,0,230,0,31, ,0, , , , , , 
31-jan-1962,0,10.6,0,3.3, , ,8, ,1001.9,17.6,0,23,0,310,0,44, ,0, , , , , , 
01-feb-1962,0,7.8,0,2.7, , ,8, ,1010.2,13.3,0,21,0,300,0,41, ,0, , , , , , 
02-feb-1962,0,9.3,0,3.9, , ,8, ,1011.0,7.9,0,13,0,290,0,18, ,0, , , , , , 
03-feb-1962,0,12.3,0,3.8, , ,8, ,1004.0,13.2,0,26,0,280,0,36, ,0, , , , , , 
04-feb-1962,0,11.1,0,4.1, , ,8, ,999.3,17.6,0,26,0,250,0,42, ,0, , , , , , 
05-feb-1962,0,10.0,0,4.3, , ,8, ,1001.3,12.4,0,20,0,250,0,31, ,0, , , , , , 
06-feb-1962,0,9.7,0,5.4, , ,8, ,991.5,19.6,0,29,0,220,0,45, ,0, , , , , , 
07-feb-1962,0,8.1,0,4.4, , ,8, ,989.4,24.0,0,38,0,320,0,57, ,0, , , , , , 
08-feb-1962,0,8.5,0,2.8, , ,8, ,1004.8,8.8,0,26,0,340,0,39, ,0, , , , , , 
09-feb-1962,0,9.4,0,7.1, , ,8, ,1011.5,8.1,0,17,0,330,0,23, ,0, , , , , , 
10-feb-1962,0,11.6,0,3.5, , ,8, ,1016.5,12.4,0,25,0,330,0,39, ,0, , , , , , 
11-feb-1962,0,8.9,0,2.3, , ,8, ,1015.0,15.7,0,33,0,260,0,44, ,0, , , , , , 
12-feb-1962,0,11.6,0,7.3, , ,8, ,1000.5,25.3,0,32,0,270,0,49, ,0, , , , , , 
13-feb-1962,0,7.4,0,0.6, , ,8, ,1000.2,19.2,0,30,0,310,0,47, ,0, , , , , , 
14-feb-1962,0,5.3,1,-1.1, , ,8, ,1013.0,8.6,0,17,0,340,0,24, ,0, , , , , , 
15-feb-1962,0,10.7,0,2.5, , ,8, ,1012.5,13.3,0,23,0,290,0,38, ,0, , , , , , 
16-feb-1962,0,9.4,0,4.6, , ,8, ,1008.9,20.2,0,30,0,300,0,45, ,0, , , , , , 
17-feb-1962,0,11.4,0,4.5, , ,8, ,1016.8,10.5,0,15,0,300,0,24, ,0, , , , , , 
18-feb-1962,0,9.9,0,5.9, , ,8, ,1015.2,6.1,0,12,0,250,0,16, ,0, , , , , , 
19-feb-1962,0,8.3,0,5.5, , ,8, ,1008.7,8.2,0,14,0,200,0,22, ,0, , , , , , 
20-feb-1962,0,9.9,0,4.5, , ,8, ,1009.5,4.9,0,9,0,150,0,12, ,0, , , , , , 
21-feb-1962,0,8.2,0,1.7, , ,8, ,1011.8,6.8,0,11,0,90,0,16, ,0, , , , , , 
22-feb-1962,0,5.7,0,1.6, , ,8, ,1014.5,13.8,0,21,0,90,0,31, ,0, , , , , , 
23-feb-1962,0,3.6,0,0.6, , ,8, ,1015.7,18.5,0,24,0,110,0,32, ,0, , , , , , 
24-feb-1962,0,3.7,0,0.7, , ,8, ,1009.2,13.5,0,20,0,70,0,30, ,0, , , , , , 
25-feb-1962,0,3.7,0,0.0, , ,8, ,1003.3,17.6,0,24,0,60,0,40, ,0, , , , , , 
26-feb-1962,0,0.8,1,-2.7, , ,8, ,998.8,16.0,0,24,0,60,0,43, ,2, , , , , , 
27-feb-1962,0,1.2,1,-2.0, , ,8, ,993.9,14.8,0,22,0,80,0,32, ,3, , , , , , 
28-feb-1962,0,2.5,1,-2.2, , ,8, ,997.5,11.2,0,20,0,50,0,27, ,6, , , , , , 
01-mar-1962,0,2.9,0,0.1, , ,8, ,998.2,5.3,0,11,0,360,0,15, ,0, , , , , , 
02-mar-1962,0,4.4,1,-1.9, , ,8, ,990.4,7.0,0,12,0,20,0,17, ,0, , , , , , 
03-mar-1962,0,3.4,1,-3.7, , ,8, ,982.9,8.3,0,16,0,340,0,26, ,0, , , , , , 
04-mar-1962,0,3.7,1,-5.4, , ,8, ,984.1,7.8,0,12,0,30,0,19, ,0, , , , , , 
05-mar-1962,0,6.2,1,-3.3, , ,8, ,990.2,5.1,0,10,0,340,0,14, ,0, , , , , , 
06-mar-1962,0,6.1,1,-1.6, , ,8, ,992.1,13.5,0,32,0,130,0,46, ,0, , , , , , 
07-mar-1962,0,4.4,0,0.9, , ,8, ,982.5,35.2,0,44,0,130,0,63, ,0, , , , , , 
08-mar-1962,0,9.4,0,4.2, , ,8, ,975.4,11.6,0,25,0,130,0,37, ,0, , , , , , 
09-mar-1962,0,8.9,0,7.2, , ,8, ,975.8,6.8,0,12,0,320,0,21, ,0, , , , , , 
10-mar-1962,0,10.0,0,3.4, , ,8, ,982.3,12.3,0,19,0,310,0,31, ,0, , , , , , 
11-mar-1962,0,10.8,0,1.1, , ,8, ,990.2,6.7,0,13,0,80,0,18, ,0, , , , , , 
